*****************************
Basic coeficients
*****************************
Alpha, Cd
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    
   24.00    ,     .000    

Alpha, Cnr
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    
   24.00    ,     .000    

Alpha, Clr
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    
   24.00    ,     .000    

*****************************
Flap terms
*****************************
Plain flaps
DeltaFlap, CL
  -20.00    ,   -.1068    
  -15.00    ,   -.9823E-01
  -10.00    ,   -.6762E-01
  -5.000    ,   -.3381E-01
    .000    ,     .000    
   5.000    ,    .3381E-01
   10.00    ,    .6762E-01
   15.00    ,    .9823E-01
   20.00    ,    .1068    

Plain flaps
DeltaFlap, Cm
  -20.00    ,    .1907    
  -15.00    ,    .1747    
  -10.00    ,    .1206    
  -5.000    ,    .6031E-01
    .000    ,     .000    
   5.000    ,   -.6031E-01
   10.00    ,   -.1206    
   15.00    ,   -.1747    
   20.00    ,   -.1915    

Cd_Flaps for Plain flaps
Alpha, DeltaFlap
            ,   -20.00    ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    15.00    ,    20.00    
  -16.00    ,    .9315E-02,    .8311E-02,    .5002E-02,    .2093E-02,     .000    ,   -.1276E-02,   -.1735E-02,   -.1451E-02,   -.1262E-02
  -8.000    ,    .5859E-02,    .5120E-02,    .2800E-02,    .9918E-03,     .000    ,   -.1751E-03,    .4665E-03,    .1739E-02,    .2195E-02
  -6.000    ,    .5019E-02,    .4345E-02,    .2265E-02,    .7243E-03,     .000    ,    .9237E-04,    .1001E-02,    .2514E-02,    .3034E-02
  -4.000    ,    .4172E-02,    .3563E-02,    .1726E-02,    .4545E-03,     .000    ,    .3622E-03,    .1541E-02,    .3296E-02,    .3882E-02
  -2.000    ,    .3340E-02,    .2796E-02,    .1196E-02,    .1897E-03,     .000    ,    .6270E-03,    .2071E-02,    .4063E-02,    .4713E-02
    .000    ,    .2532E-02,    .2050E-02,    .6813E-03,   -.6772E-04,     .000    ,    .8844E-03,    .2586E-02,    .4809E-02,    .5522E-02
   2.000    ,    .1719E-02,    .1300E-02,    .1637E-03,   -.3265E-03,     .000    ,    .1143E-02,    .3103E-02,    .5559E-02,    .6334E-02
   4.000    ,    .9049E-03,    .5485E-03,   -.3549E-03,   -.5858E-03,     .000    ,    .1402E-02,    .3622E-02,    .6311E-02,    .7148E-02
   8.000    ,   -.7565E-03,   -.9847E-03,   -.1413E-02,   -.1115E-02,     .000    ,    .1932E-02,    .4680E-02,    .7844E-02,    .8810E-02
   9.000    ,   -.1176E-02,   -.1372E-02,   -.1680E-02,   -.1248E-02,     .000    ,    .2065E-02,    .4947E-02,    .8231E-02,    .9229E-02
   10.00    ,   -.1623E-02,   -.1784E-02,   -.1965E-02,   -.1391E-02,     .000    ,    .2207E-02,    .5231E-02,    .8643E-02,    .9676E-02
   12.00    ,   -.2623E-02,   -.2707E-02,   -.2602E-02,   -.1709E-02,     .000    ,    .2526E-02,    .5869E-02,    .9566E-02,    .1068E-01
   14.00    ,   -.3800E-02,   -.3794E-02,   -.3352E-02,   -.2084E-02,     .000    ,    .2901E-02,    .6618E-02,    .1065E-01,    .1185E-01
   16.00    ,   -.5102E-02,   -.4995E-02,   -.4180E-02,   -.2499E-02,     .000    ,    .3315E-02,    .7447E-02,    .1185E-01,    .1315E-01
   18.00    ,   -.6591E-02,   -.6369E-02,   -.5129E-02,   -.2973E-02,     .000    ,    .3790E-02,    .8396E-02,    .1323E-01,    .1464E-01
   19.00    ,   -.7439E-02,   -.7152E-02,   -.5669E-02,   -.3243E-02,     .000    ,    .4060E-02,    .8936E-02,    .1401E-01,    .1549E-01
   20.00    ,   -.8349E-02,   -.7992E-02,   -.6249E-02,   -.3533E-02,     .000    ,    .4349E-02,    .9516E-02,    .1485E-01,    .1640E-01
   21.00    ,   -.9699E-02,   -.9238E-02,   -.7109E-02,   -.3963E-02,     .000    ,    .4779E-02,    .1038E-01,    .1610E-01,    .1775E-01
   22.00    ,   -.1115E-01,   -.1058E-01,   -.8033E-02,   -.4425E-02,     .000    ,    .5241E-02,    .1130E-01,    .1744E-01,    .1920E-01
   24.00    ,   -.1561E-01,   -.1470E-01,   -.1088E-01,   -.5846E-02,     .000    ,    .6663E-02,    .1414E-01,    .2155E-01,    .2367E-01

*****************************
Aileron terms
*****************************
*****************************
Elevator terms
*****************************
Cd_Elev
Alpha, DeltaElev
            ,   -20.00    ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    15.00    ,    20.00    
  -16.00    ,    .9315E-02,    .8311E-02,    .5002E-02,    .2093E-02,   -.3366E-05,   -.1276E-02,   -.1735E-02,   -.1451E-02,   -.1262E-02
  -8.000    ,    .5859E-02,    .5120E-02,    .2800E-02,    .9918E-03,   -.1165E-05,   -.1751E-03,    .4665E-03,    .1739E-02,    .2195E-02
  -6.000    ,    .5019E-02,    .4345E-02,    .2265E-02,    .7243E-03,   -.6303E-06,    .9237E-04,    .1001E-02,    .2514E-02,    .3034E-02
  -4.000    ,    .4172E-02,    .3563E-02,    .1726E-02,    .4545E-03,   -.9072E-07,    .3622E-03,    .1541E-02,    .3296E-02,    .3882E-02
  -2.000    ,    .3340E-02,    .2796E-02,    .1196E-02,    .1897E-03,    .4390E-06,    .6270E-03,    .2071E-02,    .4063E-02,    .4713E-02
    .000    ,    .2532E-02,    .2050E-02,    .6813E-03,   -.6772E-04,    .9538E-06,    .8844E-03,    .2586E-02,    .4809E-02,    .5522E-02
   2.000    ,    .1719E-02,    .1300E-02,    .1637E-03,   -.3265E-03,    .1471E-05,    .1143E-02,    .3103E-02,    .5559E-02,    .6334E-02
   4.000    ,    .9049E-03,    .5485E-03,   -.3549E-03,   -.5858E-03,    .1990E-05,    .1402E-02,    .3622E-02,    .6311E-02,    .7148E-02
   8.000    ,   -.7565E-03,   -.9847E-03,   -.1413E-02,   -.1115E-02,    .3047E-05,    .1932E-02,    .4680E-02,    .7844E-02,    .8810E-02
   9.000    ,   -.1176E-02,   -.1372E-02,   -.1680E-02,   -.1248E-02,    .3316E-05,    .2065E-02,    .4947E-02,    .8231E-02,    .9229E-02
