*****************************
Basic coeficients
*****************************
Alpha, Cd
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    
   24.00    ,     .000    

*****************************
Flap terms
*****************************
Plain flaps
DeltaFlap, CL
  -20.00    ,   -.1130    
  -15.00    ,   -.1040    
  -10.00    ,   -.7156E-01
  -5.000    ,   -.3578E-01
    .000    ,     .000    
   5.000    ,    .3578E-01
   10.00    ,    .7156E-01
   15.00    ,    .1040    
   20.00    ,    .1130    

Plain flaps
DeltaFlap, Cm
  -20.00    ,    .3213    
  -15.00    ,    .2992    
  -10.00    ,    .2066    
  -5.000    ,    .1033    
    .000    ,     .000    
   5.000    ,   -.1033    
   10.00    ,   -.2066    
   15.00    ,   -.2992    
   20.00    ,   -.3274    

Cd_Flaps for Plain flaps
Alpha, DeltaFlap
            ,   -20.00    ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    15.00    ,    20.00    
  -16.00    ,    .1171E-01,    .1052E-01,    .6510E-02,    .2839E-02,     .000    ,   -.2008E-02,   -.3185E-02,   -.3534E-02,   -.3513E-02
  -8.000    ,    .6628E-02,    .5825E-02,    .3272E-02,    .1220E-02,     .000    ,   -.3892E-03,    .5261E-04,    .1159E-02,    .1572E-02
  -6.000    ,    .5445E-02,    .4733E-02,    .2519E-02,    .8439E-03,     .000    ,   -.1283E-04,    .8054E-03,    .2250E-02,    .2754E-02
  -4.000    ,    .4295E-02,    .3672E-02,    .1786E-02,    .4776E-03,     .000    ,    .3534E-03,    .1538E-02,    .3312E-02,    .3905E-02
  -2.000    ,    .3176E-02,    .2639E-02,    .1074E-02,    .1215E-03,     .000    ,    .7096E-03,    .2250E-02,    .4344E-02,    .5023E-02
    .000    ,    .2042E-02,    .1592E-02,    .3518E-03,   -.2397E-03,     .000    ,    .1071E-02,    .2973E-02,    .5391E-02,    .6158E-02
   2.000    ,    .8708E-03,    .5117E-03,   -.3939E-03,   -.6125E-03,     .000    ,    .1444E-02,    .3718E-02,    .6472E-02,    .7329E-02
   4.000    ,   -.3322E-03,   -.5984E-03,   -.1160E-02,   -.9955E-03,     .000    ,    .1827E-02,    .4484E-02,    .7582E-02,    .8532E-02
   8.000    ,   -.2835E-02,   -.2908E-02,   -.2753E-02,   -.1792E-02,     .000    ,    .2623E-02,    .6078E-02,    .9891E-02,    .1103E-01
   9.000    ,   -.3488E-02,   -.3511E-02,   -.3169E-02,   -.2000E-02,     .000    ,    .2831E-02,    .6493E-02,    .1049E-01,    .1169E-01
   10.00    ,   -.4150E-02,   -.4122E-02,   -.3591E-02,   -.2211E-02,     .000    ,    .3042E-02,    .6915E-02,    .1111E-01,    .1235E-01
   12.00    ,   -.5503E-02,   -.5370E-02,   -.4452E-02,   -.2642E-02,     .000    ,    .3473E-02,    .7776E-02,    .1235E-01,    .1370E-01
   14.00    ,   -.6892E-02,   -.6652E-02,   -.5337E-02,   -.3084E-02,     .000    ,    .3915E-02,    .8661E-02,    .1364E-01,    .1509E-01
   16.00    ,   -.8318E-02,   -.7968E-02,   -.6245E-02,   -.3538E-02,     .000    ,    .4369E-02,    .9569E-02,    .1495E-01,    .1652E-01
   18.00    ,   -.9781E-02,   -.9318E-02,   -.7176E-02,   -.4004E-02,     .000    ,    .4835E-02,    .1050E-01,    .1630E-01,    .1798E-01
   19.00    ,   -.1053E-01,   -.1001E-01,   -.7650E-02,   -.4241E-02,     .000    ,    .5072E-02,    .1097E-01,    .1699E-01,    .1873E-01
   20.00    ,   -.1128E-01,   -.1070E-01,   -.8131E-02,   -.4481E-02,     .000    ,    .5312E-02,    .1146E-01,    .1769E-01,    .1948E-01
   21.00    ,   -.1204E-01,   -.1141E-01,   -.8617E-02,   -.4724E-02,     .000    ,    .5555E-02,    .1194E-01,    .1839E-01,    .2024E-01
   22.00    ,   -.1282E-01,   -.1212E-01,   -.9109E-02,   -.4970E-02,     .000    ,    .5801E-02,    .1243E-01,    .1910E-01,    .2102E-01
   24.00    ,   -.1439E-01,   -.1357E-01,   -.1011E-01,   -.5471E-02,     .000    ,    .6302E-02,    .1344E-01,    .2056E-01,    .2259E-01

*****************************
Aileron terms
*****************************
*****************************
Elevator terms
*****************************
Cd_Elev
Alpha, DeltaElev
            ,   -20.00    ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    15.00    ,    20.00    
  -16.00    ,    .1171E-01,    .1052E-01,    .6510E-02,    .2839E-02,   -.4846E-05,   -.2008E-02,   -.3185E-02,   -.3534E-02,   -.3513E-02
  -8.000    ,    .6628E-02,    .5825E-02,    .3272E-02,    .1220E-02,   -.1608E-05,   -.3892E-03,    .5261E-04,    .1159E-02,    .1572E-02
  -6.000    ,    .5445E-02,    .4733E-02,    .2519E-02,    .8439E-03,   -.8551E-06,   -.1283E-04,    .8054E-03,    .2250E-02,    .2754E-02
  -4.000    ,    .4295E-02,    .3672E-02,    .1786E-02,    .4776E-03,   -.1225E-06,    .3534E-03,    .1538E-02,    .3312E-02,    .3905E-02
  -2.000    ,    .3176E-02,    .2639E-02,    .1074E-02,    .1215E-03,    .5897E-06,    .7096E-03,    .2250E-02,    .4344E-02,    .5023E-02
    .000    ,    .2042E-02,    .1592E-02,    .3518E-03,   -.2397E-03,    .1312E-05,    .1071E-02,    .2973E-02,    .5391E-02,    .6158E-02
   2.000    ,    .8708E-03,    .5117E-03,   -.3939E-03,   -.6125E-03,    .2058E-05,    .1444E-02,    .3718E-02,    .6472E-02,    .7329E-02
   4.000    ,   -.3322E-03,   -.5984E-03,   -.1160E-02,   -.9955E-03,    .2824E-05,    .1827E-02,    .4484E-02,    .7582E-02,    .8532E-02
   8.000    ,   -.2835E-02,   -.2908E-02,   -.2753E-02,   -.1792E-02,    .4417E-05,    .2623E-02,    .6078E-02,    .9891E-02,    .1103E-01
   9.000    ,   -.3488E-02,   -.3511E-02,   -.3169E-02,   -.2000E-02,    .4833E-05,    .2831E-02,    .6493E-02,    .1049E-01,    .1169E-01
   10.00    ,   -.4150E-02,   -.4122E-02,   -.3591E-02,   -.2211E-02,    .5254E-05,    .3042E-02,    .6915E-02,    .1111E-01,    .1235E-01
   12.00    ,   -.5503E-02,   -.5370E-02,   -.4452E-02,   -.2642E-02,    .6119E-05,    .3473E-02,    .7776E-02,    .1235E-01,    .1370E-01
   14.00    ,   -.6892E-02,   -.6652E-02,   -.5337E-02,   -.3084E-02,    .7001E-05,    .3915E-02,    .8661E-02,    .1364E-01,    .1509E-01
   16.00    ,   -.8318E-02,   -.7968E-02,   -.6245E-02,   -.3538E-02,    .7902E-05,    .4369E-02,    .9569E-02,    .1495E-01,    .1652E-01
   18.00    ,   -.9781E-02,   -.9318E-02,   -.7176E-02,   -.4004E-02,    .8842E-05,    .4835E-02,    .1050E-01,    .1630E-01,    .1798E-01
   19.00    ,   -.1053E-01,   -.1001E-01,   -.7650E-02,   -.4241E-02,    .9313E-05,    .5072E-02,    .1097E-01,    .1699E-01,    .1873E-01
